original_id	id_for_infomap
202789051	1541
15747743	1542
7770342	1543
17767500	1544
61127420	1545
130589438	1546
18706144	1547
24561424	1548
213961838	1549
22980460	1550
32147116	1551
24184567	1552
154708805	1553
15103213	1554
18358227	1555
19477654	1556
227838448	1557
116234257	1558
22242179	1559
126979577	1560
1530371	1561
140028928	1562
101744237	1563
18211473	1564
163250088	1565
130554757	1566
76488224	1567
19654787	1568
14294650	1569
8447862	1570
183998273	1571
192626071	1572
256754305	1573
15274752	1574
86160868	1575
15362948	1576
162959093	1577
15064389	1578
10221752	1579
48342996	1580
49011247	1581
23774237	1582
15905527	1583
231254156	1584
128023725	1585
229587355	1586
104211750	1587
114467024	1588
25688058	1589
21814082	1590
235463218	1591
18083141	1592
210886997	1593
6092972	1594
9952152	1595
26548347	1596
34983319	1597
146321140	1598
15365998	1599
93740417	1600
237197733	1601
83393956	1602
35602818	1603
91921994	1604
219353003	1605
61462007	1606
176642333	1607
144538924	1608
110532690	1609
193362884	1610
267059970	1611
220255068	1612
223679418	1613
70416891	1614
167570736	1615
16278276	1616
220982094	1617
70335881	1618
15302201	1619
253727920	1620
14562275	1621
17897020	1622
17641725	1623
153042732	1624
132108729	1625
157498350	1626
129098605	1627
29163409	1628
43111514	1629
49233038	1630
15885310	1631
73359595	1632
30194186	1633
36730935	1634
14157732	1635
130128230	1636
17824560	1637
142169165	1638
260136602	1639
15123673	1640
45190383	1641
145530134	1642
15566022	1643
19408219	1644
13354002	1645
42330308	1646
6183312	1647
237193691	1648
61421779	1649
67656375	1650
113734388	1651
89013228	1652
159265325	1653
15891536	1654
14801984	1655
95277355	1656
49620984	1657
15655296	1658
35523686	1659
3376281	1660
136802522	1661
22200186	1662
140869994	1663
85267320	1664
10284542	1665
9139352	1666
20593866	1667
36230769	1668
15126651	1669
85543520	1670
18649219	1671
13767702	1672
40004981	1673
82328753	1674
53466911	1675
170394787	1676
125745997	1677
14431213	1678
14923682	1679
16425453	1680
63728431	1681
108020454	1682
25419816	1683
76424904	1684
45334322	1685
94577861	1686
208687668	1687
16438898	1688
1630261	1689
14641392	1690
171023147	1691
216172901	1692
14387542	1693
10768282	1694
35810047	1695
68552069	1696
17453969	1697
223961051	1698
145196076	1699
27109378	1700
16932185	1701
181633686	1702
10776882	1703
229729919	1704
15466555	1705
15010777	1706
47634020	1707
156783397	1708
51144694	1709
19826674	1710
103116624	1711
108538150	1712
12354252	1713
35402203	1714
15681663	1715
16813361	1716
90854372	1717
1120601	1718
14813149	1719
15487747	1720
156693720	1721
182028677	1722
14545046	1723
263448462	1724
28599031	1725
23274866	1726
18402888	1727
141243524	1728
19038395	1729
86272337	1730
29767444	1731
22736954	1732
46222099	1733
9175912	1734
31403276	1735
31288054	1736
159791993	1737
196281219	1738
22883967	1739
15109389	1740
16513752	1741
18834180	1742
204390536	1743
14290415	1744
67798741	1745
45848865	1746
89121882	1747
219819147	1748
6630962	1749
15689313	1750
8769212	1751
14763336	1752
176651561	1753
119395435	1754
193483917	1755
43573375	1756
145315512	1757
31667926	1758
139965205	1759
148696421	1760
266073365	1761
11010622	1762
108350879	1763
237220110	1764
20481131	1765
16819278	1766
199624094	1767
30462898	1768
97074438	1769
40187188	1770
16261638	1771
38164856	1772
89370731	1773
24990215	1774
13028322	1775
151714614	1776
19639071	1777
131932008	1778
15462987	1779
17740210	1780
23594701	1781
17170520	1782
15391752	1783
19873296	1784
119196878	1785
82390302	1786
146093372	1787
21799282	1788
138498796	1789
7144182	1790
100817771	1791
28612042	1792
1717291	1793
18776351	1794
77540628	1795
16818490	1796
201835381	1797
17644563	1798
212823696	1799
14089271	1800
23743148	1801
42868982	1802
109881181	1803
94607882	1804
24561449	1805
74153376	1806
109460638	1807
46159898	1808
236719127	1809
240854929	1810
22925703	1811
32718488	1812
16824146	1813
70622187	1814
76862092	1815
120285512	1816
52927776	1817
14951992	1818
115596327	1819
25191558	1820
22973224	1821
22228327	1822
83770292	1823
213947558	1824
18697352	1825
261765367	1826
15371730	1827
18431771	1828
240062530	1829
160097143	1830
60843560	1831
1012071	1832
208093309	1833
162965189	1834
193274143	1835
18152057	1836
7746052	1837
19494371	1838
90776145	1839
32964444	1840
111789350	1841
14325932	1842
15938944	1843
231039361	1844
147461784	1845
53657495	1846
41549425	1847
16357245	1848
34394575	1849
176225740	1850
4922001	1851
83491082	1852
15365429	1853
18732075	1854
23584959	1855
18449174	1856
14270791	1857
19602429	1858
119946793	1859
24707040	1860
15551156	1861
20173675	1862
21080122	1863
111047202	1864
167637074	1865
25393674	1866
211421505	1867
678033	1868
11855222	1869
18429289	1870
80175829	1871
84201313	1872
15553406	1873
199400238	1874
38329264	1875
32211808	1876
32770999	1877
139974111	1878
34012344	1879
18460854	1880
22539801	1881
102324811	1882
235759321	1883
19461688	1884
117022831	1885
12716	1886
12781762	1887
21812410	1888
168402242	1889
51908250	1890
14998779	1891
21990854	1892
137423367	1893
70872642	1894
9277962	1895
183499665	1896
51312272	1897
160628707	1898
83454492	1899
16904101	1900
124028136	1901
31100040	1902
144692356	1903
33452655	1904
18332827	1905
91194630	1906
15257682	1907
19251173	1908
188450258	1909
17874910	1910
12852572	1911
17538588	1912
98928522	1913
16445899	1914
217181024	1915
16680941	1916
47599165	1917
147359145	1918
249415812	1919
17635363	1920
66531467	1921
854291	1922
37764670	1923
14399357	1924
65539550	1925
248988432	1926
175876900	1927
18196178	1928
15382111	1929
17429788	1930
24545046	1931
51527704	1932
14153594	1933
26539097	1934
69435529	1935
19690008	1936
213069826	1937
15675070	1938
10636902	1939
47050697	1940
253422875	1941
259733469	1942
12702572	1943
33241171	1944
22513467	1945
177959094	1946
101253269	1947
211787112	1948
9831802	1949
23664028	1950
148833123	1951
14572196	1952
14090931	1953
125322205	1954
166961004	1955
32633716	1956
17565891	1957
195742848	1958
239682389	1959
30874865	1960
22077506	1961
182982341	1962
69366493	1963
219720365	1964
20928893	1965
18879847	1966
55533136	1967
18906478	1968
17380976	1969
17323733	1970
25202714	1971
101612960	1972
17579692	1973
15762258	1974
218764044	1975
4053841	1976
56973737	1977
170777800	1978
91396258	1979
18503214	1980
15159129	1981
14708747	1982
203560551	1983
795448	1984
20071285	1985
7795982	1986
124252576	1987
201656128	1988
256331922	1989
109433379	1990
246913322	1991
97158610	1992
28901886	1993
135109492	1994
109777164	1995
39653094	1996
228636294	1997
25294886	1998
56428052	1999
2507851	2000
821110	2001
22277113	2002
44769565	2003
65002820	2004
25729276	2005
25266932	2006
176806231	2007
218936223	2008
37246265	2009
14605495	2010
15121781	2011
29090205	2012
16506571	2013
14345609	2014
103356166	2015
20267632	2016
124009190	2017
192709407	2018
14706139	2019
19771162	2020
83006046	2021
15211133	2022
15223619	2023
15898695	2024
22840652	2025
37573	2026
136794736	2027
44770529	2028
9366702	2029
14433757	2030
195007168	2031
14098332	2032
72343437	2033
32377446	2034
14861579	2035
16727007	2036
21275420	2037
163067164	2038
93800894	2039
1953911	2040
185221735	2041
10168082	2042
35301479	2043
9759932	2044
34434801	2045
119446586	2046
232276959	2047
636843	2048
17372386	2049
226672560	2050
221485597	2051
17905825	2052
14421385	2053
104434793	2054
20996839	2055
163719471	2056
78906196	2057
36371780	2058
101345179	2059
20609319	2060
